Model,LWA,LWA_lo,LWA_hi,TWCS,TWCS_lo,TWCS_hi,n_items,n_groups
GPT-5.5,0.9886666666666667,0.9819245918688977,0.9929121196571036,0.968,0.9486546984063574,0.980208658648717,1500,500
Gemini 3.5 Flash,0.824,0.8039070188612405,0.8424376493538162,0.702,0.6604921922645164,0.7404274618489985,1500,500
Claude Sonnet 4.6,0.69,0.6661341285196958,0.7128951522237015,0.458,0.41481382806562594,0.50182663989097,1500,500
Qwen3-8B-Instruct,0.462,0.4368988223901516,0.487295321461169,0.276,0.23863748141495,0.3167783476868947,1500,500
Aya Expanse 8B,0.4126666666666667,0.388006088026304,0.4377734355618186,0.218,0.18403314391912312,0.25626714093230635,1500,500
Llama-3.1-8B-Instruct,0.30133333333333334,0.27864459234432143,0.32503707200117876,0.108,0.08372241545896647,0.13825528546926177,1500,500
