source_family,Items,language_score,valid_response_score,task_completion_score,format_score,field_policy_score
Explicit instruction,90,0.9648148148148148,0.7703703703703704,0.9537037037037037,0.8333333333333334,1.0
Customer response locale,243,0.4691358024691358,0.40054869684499317,0.9753086419753086,0.8765432098765432,1.0
Policy-selected contact locale,351,0.5664767331433999,0.4990503323836657,0.9648622981956315,0.8646723646723646,1.0
Active outbound surface,351,0.5498575498575499,0.4757834757834758,0.9330484330484331,0.8803418803418803,1.0
Schema-visible locale policy,324,0.7217078189300411,0.3595679012345679,0.9465020576131687,0.4670781893004115,0.7649176954732511
Other field-level locale,141,0.6607565011820331,0.48226950354609927,0.9562647754137116,0.7375886524822695,0.8841607565011821
