run_id,model_name,n_items,LWA,VRS,TC,FMT,FLP,n_groups,TAC,WSS,DIS,TWCS,TVRS
anthropic_sonnet46_main_v1,Claude Sonnet 4.6,1500,0.69,0.447333,0.958,0.683333,0.914,500,0.458,0.542,0.572,0.458,0.25
aya_expanse_8b_main_v1,Aya Expanse 8B,1500,0.412667,0.258,0.954667,0.698,0.922,500,0.218,0.254,0.324,0.218,0.112
google_gemini35flash_main_v1,Gemini 3.5 Flash,1500,0.824,0.686667,0.967333,0.826,0.981333,500,0.702,0.744,0.768,0.702,0.562
llama31_8b_main_v1,Llama-3.1-8B-Instruct,1500,0.301333,0.202,0.9,0.728,0.866667,500,0.108,0.118,0.248,0.108,0.062
openai_gpt55_main_v1,GPT-5.5,1500,0.988667,0.808,0.961333,0.843333,0.986,500,0.968,0.972,0.98,0.968,0.752
qwen3_8b_main_v1,Qwen3-8B-Instruct,1500,0.462,0.371333,0.980667,0.844667,0.96,500,0.276,0.31,0.388,0.276,0.206
